underlying,near_future_symbol,next_future_symbol,far_future_symbol,near_expiry,next_expiry,far_expiry,lot_sizes,live_futures_contracts,live_options_contracts,updated_at
ANGELONE,NSE:ANGELONE26JULFUT,NSE:ANGELONE26AUGFUT,NSE:ANGELONE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2500,3,296,2026-07-16T23:27:03
APLAPOLLO,NSE:APLAPOLLO26JULFUT,NSE:APLAPOLLO26AUGFUT,NSE:APLAPOLLO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,350,3,364,2026-07-16T23:27:03
APOLLOHOSP,NSE:APOLLOHOSP26JULFUT,NSE:APOLLOHOSP26AUGFUT,NSE:APOLLOHOSP26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,362,2026-07-16T23:27:03
ASHOKLEY,NSE:ASHOKLEY26JULFUT,NSE:ASHOKLEY26AUGFUT,NSE:ASHOKLEY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,5000,3,260,2026-07-16T23:27:03
ASIANPAINT,NSE:ASIANPAINT26JULFUT,NSE:ASIANPAINT26AUGFUT,NSE:ASIANPAINT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,250,3,516,2026-07-16T23:27:03
ASTRAL,NSE:ASTRAL26JULFUT,NSE:ASTRAL26AUGFUT,NSE:ASTRAL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,425,3,328,2026-07-16T23:27:03
AUBANK,NSE:AUBANK26JULFUT,NSE:AUBANK26AUGFUT,NSE:AUBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1000,3,242,2026-07-16T23:27:03
AUROPHARMA,NSE:AUROPHARMA26JULFUT,NSE:AUROPHARMA26AUGFUT,NSE:AUROPHARMA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,550,3,292,2026-07-16T23:27:03
AXISBANK,NSE:AXISBANK26JULFUT,NSE:AXISBANK26AUGFUT,NSE:AXISBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,314,2026-07-16T23:27:03
BAJAJ-AUTO,NSE:BAJAJ-AUTO26JULFUT,NSE:BAJAJ-AUTO26AUGFUT,NSE:BAJAJ-AUTO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,75,3,404,2026-07-16T23:27:03
BAJAJFINSV,NSE:BAJAJFINSV26JULFUT,NSE:BAJAJFINSV26AUGFUT,NSE:BAJAJFINSV26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,300,3,378,2026-07-16T23:27:03
BAJAJHLDNG,NSE:BAJAJHLDNG26JULFUT,NSE:BAJAJHLDNG26AUGFUT,NSE:BAJAJHLDNG26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,75,3,436,2026-07-16T23:27:03
BAJFINANCE,NSE:BAJFINANCE26JULFUT,NSE:BAJFINANCE26AUGFUT,NSE:BAJFINANCE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,750,3,386,2026-07-16T23:27:03
BANDHANBNK,NSE:BANDHANBNK26JULFUT,NSE:BANDHANBNK26AUGFUT,NSE:BANDHANBNK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3600,3,216,2026-07-16T23:27:03
BANKBARODA,NSE:BANKBARODA26JULFUT,NSE:BANKBARODA26AUGFUT,NSE:BANKBARODA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2925,3,317,2026-07-16T23:27:03
BANKINDIA,NSE:BANKINDIA26JULFUT,NSE:BANKINDIA26AUGFUT,NSE:BANKINDIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,5200,3,263,2026-07-16T23:27:03
BANKNIFTY,NSE:BANKNIFTY26JULFUT,NSE:BANKNIFTY26AUGFUT,NSE:BANKNIFTY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,30,3,2424,2026-07-16T23:27:03
BDL,NSE:BDL26JULFUT,NSE:BDL26AUGFUT,NSE:BDL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,425,3,272,2026-07-16T23:27:03
BEL,NSE:BEL26JULFUT,NSE:BEL26AUGFUT,NSE:BEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1425,3,332,2026-07-16T23:27:03
BHARATFORG,NSE:BHARATFORG26JULFUT,NSE:BHARATFORG26AUGFUT,NSE:BHARATFORG26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,412,2026-07-16T23:27:03
BHARTIARTL,NSE:BHARTIARTL26JULFUT,NSE:BHARTIARTL26AUGFUT,NSE:BHARTIARTL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,475,3,364,2026-07-16T23:27:03
BHEL,NSE:BHEL26JULFUT,NSE:BHEL26AUGFUT,NSE:BHEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2625,3,380,2026-07-16T23:27:03
BIOCON,NSE:BIOCON26JULFUT,NSE:BIOCON26AUGFUT,NSE:BIOCON26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2500,3,350,2026-07-16T23:27:03
BLUESTARCO,NSE:BLUESTARCO26JULFUT,NSE:BLUESTARCO26AUGFUT,NSE:BLUESTARCO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,325,3,356,2026-07-16T23:27:03
BOSCHLTD,NSE:BOSCHLTD26JULFUT,NSE:BOSCHLTD26AUGFUT,NSE:BOSCHLTD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,25,3,346,2026-07-16T23:27:03
BPCL,NSE:BPCL26JULFUT,NSE:BPCL26AUGFUT,NSE:BPCL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1975,3,256,2026-07-16T23:27:03
BRITANNIA,NSE:BRITANNIA26JULFUT,NSE:BRITANNIA26AUGFUT,NSE:BRITANNIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,420,2026-07-16T23:27:03
BSE,NSE:BSE26JULFUT,NSE:BSE26AUGFUT,NSE:BSE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,200,3,205,2026-07-16T23:27:03
CAMS,NSE:CAMS26JULFUT,NSE:CAMS26AUGFUT,NSE:CAMS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,825,3,336,2026-07-16T23:27:03
CANBK,NSE:CANBK26JULFUT,NSE:CANBK26AUGFUT,NSE:CANBK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6750,3,336,2026-07-16T23:27:03
CDSL,NSE:CDSL26JULFUT,NSE:CDSL26AUGFUT,NSE:CDSL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,475,3,272,2026-07-16T23:27:03
CGPOWER,NSE:CGPOWER26JULFUT,NSE:CGPOWER26AUGFUT,NSE:CGPOWER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,850,3,244,2026-07-16T23:27:03
CHOLAFIN,NSE:CHOLAFIN26JULFUT,NSE:CHOLAFIN26AUGFUT,NSE:CHOLAFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,330,2026-07-16T23:27:03
CIPLA,NSE:CIPLA26JULFUT,NSE:CIPLA26AUGFUT,NSE:CIPLA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,425,3,516,2026-07-16T23:27:03
COALINDIA,NSE:COALINDIA26JULFUT,NSE:COALINDIA26AUGFUT,NSE:COALINDIA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1350,3,358,2026-07-16T23:27:03
COCHINSHIP,NSE:COCHINSHIP26JULFUT,NSE:COCHINSHIP26AUGFUT,NSE:COCHINSHIP26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,400,3,306,2026-07-16T23:27:03
COFORGE,NSE:COFORGE26JULFUT,NSE:COFORGE26AUGFUT,NSE:COFORGE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,475,3,316,2026-07-16T23:27:03
COLPAL,NSE:COLPAL26JULFUT,NSE:COLPAL26AUGFUT,NSE:COLPAL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,275,3,418,2026-07-16T23:27:03
CONCOR,NSE:CONCOR26JULFUT,NSE:CONCOR26AUGFUT,NSE:CONCOR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1250,3,392,2026-07-16T23:27:03
CROMPTON,NSE:CROMPTON26JULFUT,NSE:CROMPTON26AUGFUT,NSE:CROMPTON26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2150,3,245,2026-07-16T23:27:03
CUMMINSIND,NSE:CUMMINSIND26JULFUT,NSE:CUMMINSIND26AUGFUT,NSE:CUMMINSIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,200,3,242,2026-07-16T23:27:03
DABUR,NSE:DABUR26JULFUT,NSE:DABUR26AUGFUT,NSE:DABUR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1250,3,344,2026-07-16T23:27:03
DALBHARAT,NSE:DALBHARAT26JULFUT,NSE:DALBHARAT26AUGFUT,,2026-07-28,2026-08-25 00:00:00,,325,2,280,2026-07-16T23:27:03
DELHIVERY,NSE:DELHIVERY26JULFUT,NSE:DELHIVERY26AUGFUT,NSE:DELHIVERY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2075,3,374,2026-07-16T23:27:03
DIVISLAB,NSE:DIVISLAB26JULFUT,NSE:DIVISLAB26AUGFUT,NSE:DIVISLAB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,100,3,305,2026-07-16T23:27:03
DIXON,NSE:DIXON26JULFUT,NSE:DIXON26AUGFUT,NSE:DIXON26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,50,3,303,2026-07-16T23:27:03
DLF,NSE:DLF26JULFUT,NSE:DLF26AUGFUT,NSE:DLF26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,950,3,293,2026-07-16T23:27:03
DMART,NSE:DMART26JULFUT,NSE:DMART26AUGFUT,NSE:DMART26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,352,2026-07-16T23:27:03
DRREDDY,NSE:DRREDDY26JULFUT,NSE:DRREDDY26AUGFUT,NSE:DRREDDY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,566,2026-07-16T23:27:03
EICHERMOT,NSE:EICHERMOT26JULFUT,NSE:EICHERMOT26AUGFUT,NSE:EICHERMOT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,100,3,356,2026-07-16T23:27:03
ETERNAL,NSE:ETERNAL26JULFUT,NSE:ETERNAL26AUGFUT,NSE:ETERNAL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2425,3,246,2026-07-16T23:27:03
EXIDEIND,NSE:EXIDEIND26JULFUT,,,2026-07-28,,,1800,1,169,2026-07-16T23:27:03
FEDERALBNK,NSE:FEDERALBNK26JULFUT,NSE:FEDERALBNK26AUGFUT,NSE:FEDERALBNK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2500,3,276,2026-07-16T23:27:03
FINNIFTY,NSE:FINNIFTY26JULFUT,NSE:FINNIFTY26AUGFUT,NSE:FINNIFTY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,60,3,1090,2026-07-16T23:27:03
FORCEMOT,NSE:FORCEMOT26JULFUT,NSE:FORCEMOT26AUGFUT,NSE:FORCEMOT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,25,3,180,2026-07-16T23:27:03
FORTIS,NSE:FORTIS26JULFUT,NSE:FORTIS26AUGFUT,NSE:FORTIS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,775,3,392,2026-07-16T23:27:03
GAIL,NSE:GAIL26JULFUT,NSE:GAIL26AUGFUT,NSE:GAIL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3550,3,340,2026-07-16T23:27:03
GLENMARK,NSE:GLENMARK26JULFUT,NSE:GLENMARK26AUGFUT,NSE:GLENMARK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,375,3,450,2026-07-16T23:27:03
GMRAIRPORT,NSE:GMRAIRPORT26JULFUT,NSE:GMRAIRPORT26AUGFUT,NSE:GMRAIRPORT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6975,3,424,2026-07-16T23:27:03
GODFRYPHLP,NSE:GODFRYPHLP26JULFUT,NSE:GODFRYPHLP26AUGFUT,NSE:GODFRYPHLP26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,275,3,200,2026-07-16T23:27:03
GODREJCP,NSE:GODREJCP26JULFUT,NSE:GODREJCP26AUGFUT,NSE:GODREJCP26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,428,2026-07-16T23:27:03
GODREJPROP,NSE:GODREJPROP26JULFUT,NSE:GODREJPROP26AUGFUT,NSE:GODREJPROP26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,325,3,398,2026-07-16T23:27:03
GRASIM,NSE:GRASIM26JULFUT,NSE:GRASIM26AUGFUT,NSE:GRASIM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,250,3,580,2026-07-16T23:27:03
GVT&D,NSE:GVT&D26JULFUT,NSE:GVT&D26AUGFUT,NSE:GVT&D26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,230,2026-07-16T23:27:03
HAL,NSE:HAL26JULFUT,NSE:HAL26AUGFUT,NSE:HAL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,334,2026-07-16T23:27:03
HAVELLS,NSE:HAVELLS26JULFUT,NSE:HAVELLS26AUGFUT,NSE:HAVELLS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,258,2026-07-16T23:27:03
HCLTECH,NSE:HCLTECH26JULFUT,NSE:HCLTECH26AUGFUT,NSE:HCLTECH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,400,3,510,2026-07-16T23:27:03
HDFCAMC,NSE:HDFCAMC26JULFUT,NSE:HDFCAMC26AUGFUT,NSE:HDFCAMC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,300,3,312,2026-07-16T23:27:03
HDFCBANK,NSE:HDFCBANK26JULFUT,NSE:HDFCBANK26AUGFUT,NSE:HDFCBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,650,3,356,2026-07-16T23:27:03
HDFCLIFE,NSE:HDFCLIFE26JULFUT,NSE:HDFCLIFE26AUGFUT,NSE:HDFCLIFE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1100,3,476,2026-07-16T23:27:03
HEROMOTOCO,NSE:HEROMOTOCO26JULFUT,NSE:HEROMOTOCO26AUGFUT,NSE:HEROMOTOCO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,241,2026-07-16T23:27:03
HINDALCO,NSE:HINDALCO26JULFUT,NSE:HINDALCO26AUGFUT,NSE:HINDALCO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,700,3,248,2026-07-16T23:27:03
HINDPETRO,NSE:HINDPETRO26JULFUT,NSE:HINDPETRO26AUGFUT,NSE:HINDPETRO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2025,3,204,2026-07-16T23:27:03
HINDUNILVR,NSE:HINDUNILVR26JULFUT,NSE:HINDUNILVR26AUGFUT,NSE:HINDUNILVR26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,300,3,434,2026-07-16T23:27:03
HINDZINC,NSE:HINDZINC26JULFUT,NSE:HINDZINC26AUGFUT,NSE:HINDZINC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1225,3,228,2026-07-16T23:27:03
HYUNDAI,NSE:HYUNDAI26JULFUT,NSE:HYUNDAI26AUGFUT,NSE:HYUNDAI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,275,3,418,2026-07-16T23:27:03
ICICIBANK,NSE:ICICIBANK26JULFUT,NSE:ICICIBANK26AUGFUT,NSE:ICICIBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,700,3,514,2026-07-16T23:27:03
ICICIGI,NSE:ICICIGI26JULFUT,NSE:ICICIGI26AUGFUT,NSE:ICICIGI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,325,3,362,2026-07-16T23:27:03
ICICIPRULI,NSE:ICICIPRULI26JULFUT,NSE:ICICIPRULI26AUGFUT,NSE:ICICIPRULI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,925,3,422,2026-07-16T23:27:03
IDEA,NSE:IDEA26JULFUT,NSE:IDEA26AUGFUT,NSE:IDEA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,71475,3,113,2026-07-16T23:27:03
IDFCFIRSTB,NSE:IDFCFIRSTB26JULFUT,NSE:IDFCFIRSTB26AUGFUT,NSE:IDFCFIRSTB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,9275,3,328,2026-07-16T23:27:03
IEX,NSE:IEX26JULFUT,NSE:IEX26AUGFUT,NSE:IEX26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4350,3,255,2026-07-16T23:27:03
INDHOTEL,NSE:INDHOTEL26JULFUT,NSE:INDHOTEL26AUGFUT,NSE:INDHOTEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1000,3,306,2026-07-16T23:27:03
INDIANB,NSE:INDIANB26JULFUT,NSE:INDIANB26AUGFUT,NSE:INDIANB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1000,3,412,2026-07-16T23:27:03
INDIGO,NSE:INDIGO26JULFUT,NSE:INDIGO26AUGFUT,NSE:INDIGO26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,253,2026-07-16T23:27:03
INDUSINDBK,NSE:INDUSINDBK26JULFUT,NSE:INDUSINDBK26AUGFUT,NSE:INDUSINDBK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,700,3,392,2026-07-16T23:27:03
INDUSTOWER,NSE:INDUSTOWER26JULFUT,NSE:INDUSTOWER26AUGFUT,NSE:INDUSTOWER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1700,3,336,2026-07-16T23:27:03
INFY,NSE:INFY26JULFUT,NSE:INFY26AUGFUT,NSE:INFY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,400,3,395,2026-07-16T23:27:03
INOXWIND,NSE:INOXWIND26JULFUT,NSE:INOXWIND26AUGFUT,NSE:INOXWIND26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,6400,3,227,2026-07-16T23:27:03
IOC,NSE:IOC26JULFUT,NSE:IOC26AUGFUT,NSE:IOC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4875,3,295,2026-07-16T23:27:03
IREDA,NSE:IREDA26JULFUT,NSE:IREDA26AUGFUT,NSE:IREDA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,4525,3,279,2026-07-16T23:27:03
IRFC,NSE:IRFC26JULFUT,NSE:IRFC26AUGFUT,NSE:IRFC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,5425,3,394,2026-07-16T23:27:03
ITC,NSE:ITC26JULFUT,NSE:ITC26AUGFUT,NSE:ITC26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1725,3,496,2026-07-16T23:27:03
JINDALSTEL,NSE:JINDALSTEL26JULFUT,NSE:JINDALSTEL26AUGFUT,NSE:JINDALSTEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,248,2026-07-16T23:27:03
JIOFIN,NSE:JIOFIN26JULFUT,NSE:JIOFIN26AUGFUT,NSE:JIOFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2350,3,402,2026-07-16T23:27:03
JSWENERGY,NSE:JSWENERGY26JULFUT,NSE:JSWENERGY26AUGFUT,NSE:JSWENERGY26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1075,3,259,2026-07-16T23:27:03
JSWSTEEL,NSE:JSWSTEEL26JULFUT,NSE:JSWSTEEL26AUGFUT,NSE:JSWSTEEL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,675,3,283,2026-07-16T23:27:03
JUBLFOOD,NSE:JUBLFOOD26JULFUT,NSE:JUBLFOOD26AUGFUT,NSE:JUBLFOOD26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1250,3,354,2026-07-16T23:27:03
KALYANKJIL,NSE:KALYANKJIL26JULFUT,NSE:KALYANKJIL26AUGFUT,NSE:KALYANKJIL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1350,3,506,2026-07-16T23:27:03
KAYNES,NSE:KAYNES26JULFUT,NSE:KAYNES26AUGFUT,NSE:KAYNES26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,271,2026-07-16T23:27:03
KEI,NSE:KEI26JULFUT,NSE:KEI26AUGFUT,NSE:KEI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,245,2026-07-16T23:27:03
KFINTECH,NSE:KFINTECH26JULFUT,NSE:KFINTECH26AUGFUT,NSE:KFINTECH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,575,3,209,2026-07-16T23:27:03
KOTAKBANK,NSE:KOTAKBANK26JULFUT,NSE:KOTAKBANK26AUGFUT,NSE:KOTAKBANK26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2000,3,370,2026-07-16T23:27:03
KPITTECH,NSE:KPITTECH26JULFUT,NSE:KPITTECH26AUGFUT,NSE:KPITTECH26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,775,3,335,2026-07-16T23:27:03
LAURUSLABS,NSE:LAURUSLABS26JULFUT,NSE:LAURUSLABS26AUGFUT,NSE:LAURUSLABS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,850,3,320,2026-07-16T23:27:03
LICHSGFIN,NSE:LICHSGFIN26JULFUT,NSE:LICHSGFIN26AUGFUT,NSE:LICHSGFIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1000,3,246,2026-07-16T23:27:03
LICI,NSE:LICI26JULFUT,NSE:LICI26AUGFUT,NSE:LICI26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1400,3,342,2026-07-16T23:27:03
LODHA,NSE:LODHA26JULFUT,NSE:LODHA26AUGFUT,NSE:LODHA26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,625,3,259,2026-07-16T23:27:03
LT,NSE:LT26JULFUT,NSE:LT26AUGFUT,NSE:LT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,175,3,398,2026-07-16T23:27:03
LTF,NSE:LTF26JULFUT,NSE:LTF26AUGFUT,NSE:LTF26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,2250,3,246,2026-07-16T23:27:03
LTM,NSE:LTM26JULFUT,NSE:LTM26AUGFUT,NSE:LTM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,150,3,368,2026-07-16T23:27:03
LUPIN,NSE:LUPIN26JULFUT,NSE:LUPIN26AUGFUT,NSE:LUPIN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,425,3,468,2026-07-16T23:27:03
