underlying,expiry_date,instrument_family,contract_count
360ONE,2026-08-25,FUTURE,1
360ONE,2026-08-25,OPTION,96
ABB,2026-08-25,FUTURE,1
ABB,2026-08-25,OPTION,114
ABCAPITAL,2026-08-25,FUTURE,1
ABCAPITAL,2026-08-25,OPTION,126
ADANIENSOL,2026-08-25,FUTURE,1
ADANIENSOL,2026-08-25,OPTION,140
ADANIENT,2026-08-25,FUTURE,1
ADANIENT,2026-08-25,OPTION,98
ADANIGREEN,2026-08-25,FUTURE,1
ADANIGREEN,2026-08-25,OPTION,130
ADANIPORTS,2026-08-25,FUTURE,1
ADANIPORTS,2026-08-25,OPTION,150
ADANIPOWER,2026-08-25,FUTURE,1
ADANIPOWER,2026-08-25,OPTION,68
ALKEM,2026-08-25,FUTURE,1
ALKEM,2026-08-25,OPTION,172
AMBER,2026-08-25,FUTURE,1
AMBER,2026-08-25,OPTION,132
AMBUJACEM,2026-08-25,FUTURE,1
AMBUJACEM,2026-08-25,OPTION,138
ANGELONE,2026-08-25,FUTURE,1
ANGELONE,2026-08-25,OPTION,114
APLAPOLLO,2026-08-25,FUTURE,1
APLAPOLLO,2026-08-25,OPTION,146
APOLLOHOSP,2026-08-25,FUTURE,1
APOLLOHOSP,2026-08-25,OPTION,136
ASHOKLEY,2026-08-25,FUTURE,1
ASHOKLEY,2026-08-25,OPTION,106
ASIANPAINT,2026-08-25,FUTURE,1
ASIANPAINT,2026-08-25,OPTION,206
ASTRAL,2026-08-25,FUTURE,1
ASTRAL,2026-08-25,OPTION,130
AUBANK,2026-08-25,FUTURE,1
AUBANK,2026-08-25,OPTION,86
AUROPHARMA,2026-08-25,FUTURE,1
AUROPHARMA,2026-08-25,OPTION,112
AXISBANK,2026-08-25,FUTURE,1
AXISBANK,2026-08-25,OPTION,112
BAJAJ-AUTO,2026-08-25,FUTURE,1
BAJAJ-AUTO,2026-08-25,OPTION,158
BAJAJFINSV,2026-08-25,FUTURE,1
BAJAJFINSV,2026-08-25,OPTION,154
BAJAJHLDNG,2026-08-25,FUTURE,1
BAJAJHLDNG,2026-08-25,OPTION,174
BAJFINANCE,2026-08-25,FUTURE,1
BAJFINANCE,2026-08-25,OPTION,150
BANDHANBNK,2026-08-25,FUTURE,1
BANDHANBNK,2026-08-25,OPTION,72
BANKBARODA,2026-08-25,FUTURE,1
BANKBARODA,2026-08-25,OPTION,98
BANKINDIA,2026-08-25,FUTURE,1
BANKINDIA,2026-08-25,OPTION,94
BANKNIFTY,2026-08-25,FUTURE,1
BANKNIFTY,2026-08-25,OPTION,760
BDL,2026-08-25,FUTURE,1
BDL,2026-08-25,OPTION,110
BEL,2026-08-25,FUTURE,1
BEL,2026-08-25,OPTION,132
BHARATFORG,2026-08-25,FUTURE,1
BHARATFORG,2026-08-25,OPTION,164
BHARTIARTL,2026-08-25,FUTURE,1
BHARTIARTL,2026-08-25,OPTION,146
BHEL,2026-08-25,FUTURE,1
BHEL,2026-08-25,OPTION,140
BIOCON,2026-08-25,FUTURE,1
BIOCON,2026-08-25,OPTION,140
BLUESTARCO,2026-08-25,FUTURE,1
BLUESTARCO,2026-08-25,OPTION,142
BOSCHLTD,2026-08-25,FUTURE,1
BOSCHLTD,2026-08-25,OPTION,126
BPCL,2026-08-25,FUTURE,1
BPCL,2026-08-25,OPTION,104
BRITANNIA,2026-08-25,FUTURE,1
BRITANNIA,2026-08-25,OPTION,168
BSE,2026-08-25,FUTURE,1
BSE,2026-08-25,OPTION,70
CAMS,2026-08-25,FUTURE,1
CAMS,2026-08-25,OPTION,134
CANBK,2026-08-25,FUTURE,1
CANBK,2026-08-25,OPTION,92
CDSL,2026-08-25,FUTURE,1
CDSL,2026-08-25,OPTION,110
CGPOWER,2026-08-25,FUTURE,1
CGPOWER,2026-08-25,OPTION,88
CHOLAFIN,2026-08-25,FUTURE,1
CHOLAFIN,2026-08-25,OPTION,132
CIPLA,2026-08-25,FUTURE,1
CIPLA,2026-08-25,OPTION,206
COALINDIA,2026-08-25,FUTURE,1
COALINDIA,2026-08-25,OPTION,146
COCHINSHIP,2026-08-25,FUTURE,1
COCHINSHIP,2026-08-25,OPTION,118
COFORGE,2026-08-25,FUTURE,1
COFORGE,2026-08-25,OPTION,122
COLPAL,2026-08-25,FUTURE,1
COLPAL,2026-08-25,OPTION,166
CONCOR,2026-08-25,FUTURE,1
CONCOR,2026-08-25,OPTION,158
CROMPTON,2026-08-25,FUTURE,1
CROMPTON,2026-08-25,OPTION,86
CUMMINSIND,2026-08-25,FUTURE,1
CUMMINSIND,2026-08-25,OPTION,92
DABUR,2026-08-25,FUTURE,1
DABUR,2026-08-25,OPTION,138
DALBHARAT,2026-08-25,FUTURE,1
DALBHARAT,2026-08-25,OPTION,140
DELHIVERY,2026-08-25,FUTURE,1
DELHIVERY,2026-08-25,OPTION,150
DIVISLAB,2026-08-25,FUTURE,1
DIVISLAB,2026-08-25,OPTION,118
DIXON,2026-08-25,FUTURE,1
DIXON,2026-08-25,OPTION,95
DLF,2026-08-25,FUTURE,1
DLF,2026-08-25,OPTION,110
DMART,2026-08-25,FUTURE,1
DMART,2026-08-25,OPTION,140
DRREDDY,2026-08-25,FUTURE,1
DRREDDY,2026-08-25,OPTION,226
EICHERMOT,2026-08-25,FUTURE,1
EICHERMOT,2026-08-25,OPTION,132
ETERNAL,2026-08-25,FUTURE,1
ETERNAL,2026-08-25,OPTION,86
FEDERALBNK,2026-08-25,FUTURE,1
FEDERALBNK,2026-08-25,OPTION,102
FINNIFTY,2026-08-25,FUTURE,1
FINNIFTY,2026-08-25,OPTION,310
FORCEMOT,2026-08-25,FUTURE,1
FORCEMOT,2026-08-25,OPTION,70
FORTIS,2026-08-25,FUTURE,1
FORTIS,2026-08-25,OPTION,154
GAIL,2026-08-25,FUTURE,1
GAIL,2026-08-25,OPTION,110
GLENMARK,2026-08-25,FUTURE,1
GLENMARK,2026-08-25,OPTION,180
GMRAIRPORT,2026-08-25,FUTURE,1
GMRAIRPORT,2026-08-25,OPTION,170
GODFRYPHLP,2026-08-25,FUTURE,1
GODFRYPHLP,2026-08-25,OPTION,72
GODREJCP,2026-08-25,FUTURE,1
GODREJCP,2026-08-25,OPTION,170
GODREJPROP,2026-08-25,FUTURE,1
GODREJPROP,2026-08-25,OPTION,162
GRASIM,2026-08-25,FUTURE,1
GRASIM,2026-08-25,OPTION,232
GVT&D,2026-08-25,FUTURE,1
GVT&D,2026-08-25,OPTION,90
HAL,2026-08-25,FUTURE,1
HAL,2026-08-25,OPTION,134
HAVELLS,2026-08-25,FUTURE,1
HAVELLS,2026-08-25,OPTION,94
HCLTECH,2026-08-25,FUTURE,1
HCLTECH,2026-08-25,OPTION,202
HDFCAMC,2026-08-25,FUTURE,1
HDFCAMC,2026-08-25,OPTION,86
HDFCBANK,2026-08-25,FUTURE,1
HDFCBANK,2026-08-25,OPTION,128
HDFCLIFE,2026-08-25,FUTURE,1
HDFCLIFE,2026-08-25,OPTION,192
HEROMOTOCO,2026-08-25,FUTURE,1
HEROMOTOCO,2026-08-25,OPTION,86
HINDALCO,2026-08-25,FUTURE,1
HINDALCO,2026-08-25,OPTION,86
HINDPETRO,2026-08-25,FUTURE,1
HINDPETRO,2026-08-25,OPTION,68
HINDUNILVR,2026-08-25,FUTURE,1
HINDUNILVR,2026-08-25,OPTION,174
HINDZINC,2026-08-25,FUTURE,1
HINDZINC,2026-08-25,OPTION,90
HYUNDAI,2026-08-25,FUTURE,1
HYUNDAI,2026-08-25,OPTION,166
ICICIBANK,2026-08-25,FUTURE,1
ICICIBANK,2026-08-25,OPTION,204
ICICIGI,2026-08-25,FUTURE,1
ICICIGI,2026-08-25,OPTION,148
ICICIPRULI,2026-08-25,FUTURE,1
ICICIPRULI,2026-08-25,OPTION,166
IDEA,2026-08-25,FUTURE,1
IDEA,2026-08-25,OPTION,40
IDFCFIRSTB,2026-08-25,FUTURE,1
IDFCFIRSTB,2026-08-25,OPTION,130
IEX,2026-08-25,FUTURE,1
IEX,2026-08-25,OPTION,90
INDHOTEL,2026-08-25,FUTURE,1
INDHOTEL,2026-08-25,OPTION,112
INDIANB,2026-08-25,FUTURE,1
INDIANB,2026-08-25,OPTION,148
INDIGO,2026-08-25,FUTURE,1
INDIGO,2026-08-25,OPTION,86
INDUSINDBK,2026-08-25,FUTURE,1
INDUSINDBK,2026-08-25,OPTION,158
INDUSTOWER,2026-08-25,FUTURE,1
INDUSTOWER,2026-08-25,OPTION,134
INFY,2026-08-25,FUTURE,1
INFY,2026-08-25,OPTION,119
INOXWIND,2026-08-25,FUTURE,1
INOXWIND,2026-08-25,OPTION,72
IOC,2026-08-25,FUTURE,1
IOC,2026-08-25,OPTION,97
IREDA,2026-08-25,FUTURE,1
IREDA,2026-08-25,OPTION,91
IRFC,2026-08-25,FUTURE,1
IRFC,2026-08-25,OPTION,154
ITC,2026-08-25,FUTURE,1
ITC,2026-08-25,OPTION,194
JINDALSTEL,2026-08-25,FUTURE,1
JINDALSTEL,2026-08-25,OPTION,90
JIOFIN,2026-08-25,FUTURE,1
JIOFIN,2026-08-25,OPTION,158
JSWENERGY,2026-08-25,FUTURE,1
JSWENERGY,2026-08-25,OPTION,94
