trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,ADANIPOWER,ADANIPOWER,2026-07-28,,,225.07,229.0,221.46,221.68,221.82,221.68,602,484152088.5,6350950,1874400,2994,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIPOWER
2026-05-21,FO,NSE,STF,ADANIPOWER,ADANIPOWER,2026-06-30,,,224.35,228.22,220.12,220.74,220.98,220.74,6395,5082983436.0,27707750,14604700,3124,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIPOWER
2026-05-21,FO,NSE,STF,APLAPOLLO,APLAPOLLO,2026-05-26,,,1888.7,1888.7,1845.7,1864.0,1872.0,1864.0,4224,2752382150.0,2797200,-1235150,3136,NSE,UDIFF F&O BHAVCOPY,FUTURE,APLAPOLLO
2026-05-21,FO,NSE,STF,APLAPOLLO,APLAPOLLO,2026-06-30,,,1890.0,1891.8,1858.4,1875.8,1886.5,1875.8,4360,2858493295.0,3038000,1309000,3210,NSE,UDIFF F&O BHAVCOPY,FUTURE,APLAPOLLO
2026-05-21,FO,NSE,STF,APLAPOLLO,APLAPOLLO,2026-07-28,,,1892.3,1892.3,1868.1,1891.4,1891.4,1891.4,24,15799105.0,29400,3500,3313,NSE,UDIFF F&O BHAVCOPY,FUTURE,APLAPOLLO
2026-05-21,FO,NSE,STF,AUROPHARMA,AUROPHARMA,2026-05-26,,,1525.9,1553.0,1519.0,1547.8,1553.0,1547.8,6764,5734744840.0,7427750,-2757150,3327,NSE,UDIFF F&O BHAVCOPY,FUTURE,AUROPHARMA
2026-05-21,FO,NSE,STF,AUROPHARMA,AUROPHARMA,2026-06-30,,,1537.0,1563.3,1527.3,1557.0,1562.9,1557.0,7039,6006690085.0,11704000,2949100,3383,NSE,UDIFF F&O BHAVCOPY,FUTURE,AUROPHARMA
2026-05-21,FO,NSE,STF,AUROPHARMA,AUROPHARMA,2026-07-28,,,1544.0,1563.0,1544.0,1559.1,1562.8,1559.1,23,19650125.0,38500,-550,3403,NSE,UDIFF F&O BHAVCOPY,FUTURE,AUROPHARMA
2026-05-21,FO,NSE,STF,BAJAJHLDNG,BAJAJHLDNG,2026-05-26,,,10470.0,10690.0,10283.0,10445.0,10283.0,10445.0,1752,923749700.0,221500,-52950,3493,NSE,UDIFF F&O BHAVCOPY,FUTURE,BAJAJHLDNG
2026-05-21,FO,NSE,STF,BAJAJHLDNG,BAJAJHLDNG,2026-06-30,,,10446.0,10634.0,10222.0,10386.0,10222.0,10386.0,1538,806268500.0,77600,52150,3494,NSE,UDIFF F&O BHAVCOPY,FUTURE,BAJAJHLDNG
