security_id,symbol,name,sector,industry,exchange,segment,fno_flag,active_flag,lot_size,tick_size,isin,fyers_symbol,nse_token,source,security_type,instrument_class,is_index,is_stock,is_fno,aqsd_scope,enrichment_status,enrichment_source
SMD-0011,ADANIPOWER,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0012,ALKEM,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0013,AMBER,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0014,AMBUJACEM,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0015,ANGELONE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0016,APLAPOLLO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0017,APOLLOHOSP,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0018,ASHOKLEY,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0019,ASIANPAINT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0020,ASTRAL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0021,ATGL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0022,AUBANK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0023,AUROPHARMA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0024,AXISBANK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0025,BAJAJ-AUTO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0026,BAJAJFINSV,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0027,BAJAJHLDNG,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0028,BAJFINANCE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0029,BALKRISIND,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0030,BANDHANBNK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0031,BANKBARODA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0032,BANKINDIA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0033,BANKNIFTY,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,INDEX,INDEX_UNDERLYING,YES,NO,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0034,BDL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0035,BEL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0036,BHARATFORG,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0037,BHARTIARTL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0038,BHEL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0039,BIOCON,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0040,BLUESTARCO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0041,BOSCHLTD,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0042,BPCL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0043,BRITANNIA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0044,BSE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0045,BSOFT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0046,CAMS,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0047,CANBK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0048,CDSL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0049,CESC,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0050,CGPOWER,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0051,CHAMBLFERT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0052,CHOLAFIN,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0053,CIPLA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0054,COALINDIA,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0055,COCHINSHIP,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0056,COFORGE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0057,COLPAL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0058,CONCOR,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0059,CROMPTON,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0060,CUMMINSIND,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0061,CYIENT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0062,DABUR,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0063,DALBHARAT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0064,DELHIVERY,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0065,DIVISLAB,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0066,DIXON,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0067,DLF,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0068,DMART,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0069,DRREDDY,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0070,EICHERMOT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0071,ETERNAL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0072,EXIDEIND,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0073,FEDERALBNK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0074,FINNIFTY,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,INDEX,INDEX_UNDERLYING,YES,NO,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0075,FORCEMOT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0076,FORTIS,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0077,GAIL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0078,GLENMARK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0079,GMRAIRPORT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0080,GODFRYPHLP,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0081,GODREJCP,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0082,GODREJPROP,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0083,GRANULES,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0084,GRASIM,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0085,GVT&D,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0086,HAL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0087,HAVELLS,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0088,HCLTECH,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0089,HDFCAMC,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0090,HDFCBANK,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0091,HDFCLIFE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0092,HEROMOTOCO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0093,HFCL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0094,HINDALCO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0095,HINDCOPPER,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0096,HINDPETRO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0097,HINDUNILVR,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0098,HINDZINC,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0099,HUDCO,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0100,HYUNDAI,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
