security_id,symbol,resolved_fyers_symbol,market_price_scope,acquisition_source,resolution,name,sector,industry,exchange,instrument_class,security_type,is_index,is_stock,fno_membership_status,fno_membership_asof,queue_status,download_required,queue_generated_at
SMD-0016,APLAPOLLO,NSE:APLAPOLLO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0020,ASTRAL,NSE:ASTRAL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0022,AUBANK,NSE:AUBANK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0024,AXISBANK,NSE:AXISBANK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0027,BAJAJHLDNG,NSE:BAJAJHLDNG-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0030,BANDHANBNK,NSE:BANDHANBNK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0031,BANKBARODA,NSE:BANKBARODA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0033,BANKNIFTY,NSE:NIFTYBANK-INDEX,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,INDEX_UNDERLYING,INDEX,YES,NO,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0034,BDL,NSE:BDL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0035,BEL,NSE:BEL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0038,BHEL,NSE:BHEL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0039,BIOCON,NSE:BIOCON-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0042,BPCL,NSE:BPCL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0043,BRITANNIA,NSE:BRITANNIA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0044,BSE,NSE:BSE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0046,CAMS,NSE:CAMS-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0047,CANBK,NSE:CANBK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0048,CDSL,NSE:CDSL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0050,CGPOWER,NSE:CGPOWER-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0053,CIPLA,NSE:CIPLA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0054,COALINDIA,NSE:COALINDIA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0056,COFORGE,NSE:COFORGE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0057,COLPAL,NSE:COLPAL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0058,CONCOR,NSE:CONCOR-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0059,CROMPTON,NSE:CROMPTON-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0062,DABUR,NSE:DABUR-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0063,DALBHARAT,NSE:DALBHARAT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0064,DELHIVERY,NSE:DELHIVERY-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0066,DIXON,NSE:DIXON-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0067,DLF,NSE:DLF-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0068,DMART,NSE:DMART-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0069,DRREDDY,NSE:DRREDDY-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0071,ETERNAL,NSE:ETERNAL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0074,FINNIFTY,NSE:FINNIFTY-INDEX,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,INDEX_UNDERLYING,INDEX,YES,NO,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0075,FORCEMOT,NSE:FORCEMOT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0076,FORTIS,NSE:FORTIS-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0077,GAIL,NSE:GAIL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0078,GLENMARK,NSE:GLENMARK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0081,GODREJCP,NSE:GODREJCP-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0084,GRASIM,NSE:GRASIM-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0085,GVT&D,NSE:GVT&D-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0086,HAL,NSE:HAL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0087,HAVELLS,NSE:HAVELLS-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0088,HCLTECH,NSE:HCLTECH-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0094,HINDALCO,NSE:HINDALCO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0098,HINDZINC,NSE:HINDZINC-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0100,HYUNDAI,NSE:HYUNDAI-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0101,ICICIBANK,NSE:ICICIBANK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0102,ICICIGI,NSE:ICICIGI-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0104,IDEA,NSE:IDEA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0106,IEX,NSE:IEX-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0109,INDHOTEL,NSE:INDHOTEL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0110,INDIANB,NSE:INDIANB-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0111,INDIGO,NSE:INDIGO-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0113,INDUSTOWER,NSE:INDUSTOWER-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0114,INFY,NSE:INFY-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0115,INOXWIND,NSE:INOXWIND-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0116,IOC,NSE:IOC-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0119,IREDA,NSE:IREDA-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0120,IRFC,NSE:IRFC-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0121,ITC,NSE:ITC-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0122,JINDALSTEL,NSE:JINDALSTEL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0123,JIOFIN,NSE:JIOFIN-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0125,JSWENERGY,NSE:JSWENERGY-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0126,JSWSTEEL,NSE:JSWSTEEL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
