trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,340.0,CE,28.15,28.15,28.15,28.15,28.15,33.2,1,1141265.0,3100,-3100,50,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,375.0,CE,0.0,0.0,0.0,4.5,4.5,16.0,0,0.0,3100,0,51,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,300.0,PE,0.0,0.0,0.0,9.8,0.0,2.75,0,0.0,0,0,52,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,405.0,CE,1.75,1.9,1.1,1.2,1.2,2.5,53,66788260.0,130200,52700,53,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,330.0,PE,0.0,0.0,0.0,12.75,0.0,12.7,0,0.0,0,0,54,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,345.0,PE,6.2,7.45,4.15,6.15,6.0,6.15,285,309866390.0,275900,0,55,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,330.0,PE,2.5,3.45,1.75,2.75,2.7,2.75,140,144199600.0,409200,3100,56,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,380.0,PE,0.0,0.0,0.0,35.7,0.0,36.8,0,0.0,0,0,57,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,370.0,CE,0.0,0.0,0.0,28.55,0.0,23.9,0,0.0,0,0,58,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,300.0,CE,0.0,0.0,0.0,52.4,0.0,63.2,0,0.0,0,0,59,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,350.0,PE,10.85,11.75,9.1,11.75,11.75,16.45,17,18993855.0,52700,18600,60,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,400.0,CE,1.65,3.25,1.3,1.45,1.35,1.45,582,725524000.0,1010600,80600,61,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,380.0,CE,3.75,8.2,3.75,4.45,4.2,4.45,504,603005800.0,756400,77500,62,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,395.0,PE,0.0,0.0,0.0,41.65,0.0,43.5,0,0.0,0,0,63,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,390.0,PE,0.0,0.0,0.0,57.9,0.0,39.85,0,0.0,0,0,64,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,370.0,PE,0.0,0.0,0.0,29.0,29.0,26.8,0,0.0,3100,0,65,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,330.0,CE,0.0,0.0,0.0,33.9,0.0,39.75,0,0.0,0,0,66,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,385.0,CE,3.25,6.4,3.25,3.4,3.35,3.4,124,149689545.0,248000,120900,67,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,320.0,CE,0.0,0.0,0.0,46.1,46.1,41.3,0,0.0,21700,0,68,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,360.0,PE,0.0,0.0,0.0,20.0,20.0,25.4,0,0.0,6200,0,69,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,350.0,PE,8.7,9.0,5.35,7.9,7.95,7.9,715,792413630.0,1007500,0,70,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,310.0,PE,0.0,0.0,0.0,12.9,0.0,4.3,0,0.0,0,0,71,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,355.0,PE,0.0,0.0,0.0,18.55,0.0,18.75,0,0.0,0,0,72,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,380.0,PE,0.0,0.0,0.0,50.5,0.0,33.0,0,0.0,0,0,73,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,390.0,CE,0.0,0.0,0.0,20.65,0.0,16.6,0,0.0,0,0,74,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,320.0,PE,1.85,1.9,1.0,1.5,1.5,1.5,286,284822885.0,753300,-58900,75,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,325.0,PE,1.95,2.4,1.35,2.05,2.05,2.05,58,58789640.0,275900,-15500,76,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,390.0,CE,0.0,0.0,0.0,11.8,0.0,11.15,0,0.0,0,0,77,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,380.0,CE,0.0,0.0,0.0,24.35,0.0,20.0,0,0.0,0,0,78,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,360.0,CE,16.7,22.4,16.7,17.5,17.5,22.3,11,12924830.0,68200,3100,79,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,345.0,CE,19.15,27.25,19.15,21.0,21.0,22.7,49,55924310.0,105400,9300,80,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,335.0,PE,3.6,4.25,2.55,3.6,3.65,3.6,151,158542215.0,316200,198400,81,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,355.0,PE,10.1,11.6,6.9,9.8,10.15,9.8,523,590872245.0,604500,220100,82,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,370.0,PE,18.1,19.5,13.0,18.1,18.05,18.1,132,157771400.0,322400,65100,83,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,395.0,PE,40.65,40.65,34.05,38.7,38.7,39.75,10,13391070.0,15500,15500,84,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,330.0,PE,0.0,0.0,0.0,6.6,6.6,9.0,0,0.0,3100,0,85,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,345.0,PE,0.0,0.0,0.0,14.35,0.0,14.3,0,0.0,0,0,86,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
