Trade_Date,Download_Status,Parse_Status,Rows,Message
2025-10-01,DOWNLOADED,SUCCESS,2259,Downloaded successfully.
2025-10-02,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-10-03,DOWNLOADED,SUCCESS,2252,Downloaded successfully.
2025-10-06,DOWNLOADED,SUCCESS,2276,Downloaded successfully.
2025-10-07,DOWNLOADED,SUCCESS,2277,Downloaded successfully.
2025-10-08,DOWNLOADED,SUCCESS,2276,Downloaded successfully.
2025-10-09,DOWNLOADED,SUCCESS,2276,Downloaded successfully.
2025-10-10,DOWNLOADED,SUCCESS,2274,Downloaded successfully.
2025-10-13,DOWNLOADED,SUCCESS,2292,Downloaded successfully.
2025-10-14,DOWNLOADED,SUCCESS,2291,Downloaded successfully.
2025-10-15,DOWNLOADED,SUCCESS,2286,Downloaded successfully.
2025-10-16,DOWNLOADED,SUCCESS,2285,Downloaded successfully.
2025-10-17,DOWNLOADED,SUCCESS,2287,Downloaded successfully.
2025-10-20,DOWNLOADED,SUCCESS,2299,Downloaded successfully.
2025-10-21,DOWNLOADED,SUCCESS,2291,Downloaded successfully.
2025-10-22,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-10-23,DOWNLOADED,SUCCESS,2295,Downloaded successfully.
2025-10-24,DOWNLOADED,SUCCESS,2299,Downloaded successfully.
2025-10-27,DOWNLOADED,SUCCESS,2302,Downloaded successfully.
2025-10-28,DOWNLOADED,SUCCESS,2299,Downloaded successfully.
2025-10-29,DOWNLOADED,SUCCESS,2289,Downloaded successfully.
2025-10-30,DOWNLOADED,SUCCESS,2285,Downloaded successfully.
2025-10-31,DOWNLOADED,SUCCESS,2283,Downloaded successfully.
2025-11-03,DOWNLOADED,SUCCESS,2286,Downloaded successfully.
2025-11-04,DOWNLOADED,SUCCESS,2286,Downloaded successfully.
2025-11-05,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-11-06,DOWNLOADED,SUCCESS,2286,Downloaded successfully.
2025-11-07,DOWNLOADED,SUCCESS,2286,Downloaded successfully.
2025-11-10,DOWNLOADED,SUCCESS,2296,Downloaded successfully.
2025-11-11,DOWNLOADED,SUCCESS,2295,Downloaded successfully.
2025-11-12,DOWNLOADED,SUCCESS,2291,Downloaded successfully.
2025-11-13,DOWNLOADED,SUCCESS,2291,Downloaded successfully.
2025-11-14,DOWNLOADED,SUCCESS,2295,Downloaded successfully.
2025-11-17,DOWNLOADED,SUCCESS,2304,Downloaded successfully.
2025-11-18,DOWNLOADED,SUCCESS,2305,Downloaded successfully.
2025-11-19,DOWNLOADED,SUCCESS,2305,Downloaded successfully.
2025-11-20,DOWNLOADED,SUCCESS,2309,Downloaded successfully.
2025-11-21,DOWNLOADED,SUCCESS,2310,Downloaded successfully.
2025-11-24,DOWNLOADED,SUCCESS,2313,Downloaded successfully.
2025-11-25,DOWNLOADED,SUCCESS,2312,Downloaded successfully.
2025-11-26,DOWNLOADED,SUCCESS,2316,Downloaded successfully.
2025-11-27,DOWNLOADED,SUCCESS,2320,Downloaded successfully.
2025-11-28,DOWNLOADED,SUCCESS,2318,Downloaded successfully.
2025-12-01,DOWNLOADED,SUCCESS,2325,Downloaded successfully.
2025-12-02,DOWNLOADED,SUCCESS,2353,Downloaded successfully.
2025-12-03,DOWNLOADED,SUCCESS,2353,Downloaded successfully.
2025-12-04,DOWNLOADED,SUCCESS,2352,Downloaded successfully.
2025-12-05,DOWNLOADED,SUCCESS,2350,Downloaded successfully.
2025-12-08,DOWNLOADED,SUCCESS,2356,Downloaded successfully.
2025-12-09,DOWNLOADED,SUCCESS,2361,Downloaded successfully.
2025-12-10,DOWNLOADED,SUCCESS,2363,Downloaded successfully.
2025-12-11,DOWNLOADED,SUCCESS,2362,Downloaded successfully.
2025-12-12,DOWNLOADED,SUCCESS,2360,Downloaded successfully.
2025-12-15,DOWNLOADED,SUCCESS,2369,Downloaded successfully.
2025-12-16,DOWNLOADED,SUCCESS,2367,Downloaded successfully.
2025-12-17,DOWNLOADED,SUCCESS,2369,Downloaded successfully.
2025-12-18,DOWNLOADED,SUCCESS,2369,Downloaded successfully.
2025-12-19,DOWNLOADED,SUCCESS,2373,Downloaded successfully.
2025-12-22,DOWNLOADED,SUCCESS,2378,Downloaded successfully.
2025-12-23,DOWNLOADED,SUCCESS,2379,Downloaded successfully.
2025-12-24,DOWNLOADED,SUCCESS,2375,Downloaded successfully.
2025-12-25,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-12-26,DOWNLOADED,SUCCESS,2373,Downloaded successfully.
2025-12-29,DOWNLOADED,SUCCESS,2378,Downloaded successfully.
2025-12-30,DOWNLOADED,SUCCESS,2378,Downloaded successfully.
2025-12-31,DOWNLOADED,SUCCESS,2381,Downloaded successfully.
2026-01-01,DOWNLOADED,SUCCESS,2383,Downloaded successfully.
2026-01-02,DOWNLOADED,SUCCESS,2380,Downloaded successfully.
2026-01-05,DOWNLOADED,SUCCESS,2389,Downloaded successfully.
2026-01-06,DOWNLOADED,SUCCESS,2387,Downloaded successfully.
2026-01-07,DOWNLOADED,SUCCESS,2388,Downloaded successfully.
2026-01-08,DOWNLOADED,SUCCESS,2384,Downloaded successfully.
2026-01-09,DOWNLOADED,SUCCESS,2384,Downloaded successfully.
2026-01-12,DOWNLOADED,SUCCESS,2392,Downloaded successfully.
2026-01-13,DOWNLOADED,SUCCESS,2391,Downloaded successfully.
2026-01-14,DOWNLOADED,SUCCESS,2390,Downloaded successfully.
2026-01-15,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-01-16,DOWNLOADED,SUCCESS,2392,Downloaded successfully.
2026-01-19,DOWNLOADED,SUCCESS,2400,Downloaded successfully.
2026-01-20,DOWNLOADED,SUCCESS,2399,Downloaded successfully.
2026-01-21,DOWNLOADED,SUCCESS,2400,Downloaded successfully.
2026-01-22,DOWNLOADED,SUCCESS,2396,Downloaded successfully.
2026-01-23,DOWNLOADED,SUCCESS,2395,Downloaded successfully.
2026-01-26,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-01-27,DOWNLOADED,SUCCESS,2406,Downloaded successfully.
2026-01-28,DOWNLOADED,SUCCESS,2406,Downloaded successfully.
2026-01-29,DOWNLOADED,SUCCESS,2406,Downloaded successfully.
2026-01-30,DOWNLOADED,SUCCESS,2405,Downloaded successfully.
2026-02-02,DOWNLOADED,SUCCESS,2410,Downloaded successfully.
2026-02-03,DOWNLOADED,SUCCESS,2411,Downloaded successfully.
2026-02-04,DOWNLOADED,SUCCESS,2410,Downloaded successfully.
2026-02-05,DOWNLOADED,SUCCESS,2409,Downloaded successfully.
2026-02-06,DOWNLOADED,SUCCESS,2409,Downloaded successfully.
2026-02-09,DOWNLOADED,SUCCESS,2413,Downloaded successfully.
2026-02-10,DOWNLOADED,SUCCESS,2410,Downloaded successfully.
2026-02-11,DOWNLOADED,SUCCESS,2412,Downloaded successfully.
2026-02-12,DOWNLOADED,SUCCESS,2411,Downloaded successfully.
2026-02-13,DOWNLOADED,SUCCESS,2410,Downloaded successfully.
2026-02-16,DOWNLOADED,SUCCESS,2415,Downloaded successfully.
2026-02-17,DOWNLOADED,SUCCESS,2413,Downloaded successfully.
2026-02-18,DOWNLOADED,SUCCESS,2413,Downloaded successfully.
2026-02-19,DOWNLOADED,SUCCESS,2416,Downloaded successfully.
2026-02-20,DOWNLOADED,SUCCESS,2416,Downloaded successfully.
2026-02-23,DOWNLOADED,SUCCESS,2418,Downloaded successfully.
2026-02-24,DOWNLOADED,SUCCESS,2417,Downloaded successfully.
2026-02-25,DOWNLOADED,SUCCESS,2420,Downloaded successfully.
2026-02-26,DOWNLOADED,SUCCESS,2418,Downloaded successfully.
2026-02-27,DOWNLOADED,SUCCESS,2417,Downloaded successfully.
2026-03-02,DOWNLOADED,SUCCESS,2423,Downloaded successfully.
2026-03-03,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-03-04,DOWNLOADED,SUCCESS,2426,Downloaded successfully.
2026-03-05,DOWNLOADED,SUCCESS,2427,Downloaded successfully.
2026-03-06,DOWNLOADED,SUCCESS,2421,Downloaded successfully.
2026-03-09,DOWNLOADED,SUCCESS,2432,Downloaded successfully.
2026-03-10,DOWNLOADED,SUCCESS,2431,Downloaded successfully.
2026-03-11,DOWNLOADED,SUCCESS,2433,Downloaded successfully.
2026-03-12,DOWNLOADED,SUCCESS,2434,Downloaded successfully.
2026-03-13,DOWNLOADED,SUCCESS,2434,Downloaded successfully.
2026-03-16,DOWNLOADED,SUCCESS,2438,Downloaded successfully.
2026-03-17,DOWNLOADED,SUCCESS,2437,Downloaded successfully.
2026-03-18,DOWNLOADED,SUCCESS,2437,Downloaded successfully.
2026-03-19,DOWNLOADED,SUCCESS,2434,Downloaded successfully.
2026-03-20,DOWNLOADED,SUCCESS,2432,Downloaded successfully.
2026-03-23,DOWNLOADED,SUCCESS,2439,Downloaded successfully.
2026-03-24,DOWNLOADED,SUCCESS,2439,Downloaded successfully.
2026-03-25,DOWNLOADED,SUCCESS,2438,Downloaded successfully.
2026-03-26,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-03-27,DOWNLOADED,SUCCESS,2442,Downloaded successfully.
2026-03-30,DOWNLOADED,SUCCESS,2448,Downloaded successfully.
2026-03-31,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-04-01,DOWNLOADED,SUCCESS,2447,Downloaded successfully.
2026-04-02,DOWNLOADED,SUCCESS,2451,Downloaded successfully.
2026-04-03,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-04-06,DOWNLOADED,SUCCESS,2453,Downloaded successfully.
2026-04-07,DOWNLOADED,SUCCESS,2453,Downloaded successfully.
2026-04-08,DOWNLOADED,SUCCESS,2451,Downloaded successfully.
2026-04-09,DOWNLOADED,SUCCESS,2451,Downloaded successfully.
2026-04-10,DOWNLOADED,SUCCESS,2452,Downloaded successfully.
2026-04-13,DOWNLOADED,SUCCESS,2456,Downloaded successfully.
2026-04-14,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-04-15,DOWNLOADED,SUCCESS,2456,Downloaded successfully.
2026-04-16,DOWNLOADED,SUCCESS,2455,Downloaded successfully.
2026-04-17,DOWNLOADED,SUCCESS,2403,Downloaded successfully.
2026-04-20,DOWNLOADED,SUCCESS,2503,Downloaded successfully.
2026-04-21,DOWNLOADED,SUCCESS,2506,Downloaded successfully.
2026-04-22,DOWNLOADED,SUCCESS,2501,Downloaded successfully.
2026-04-23,DOWNLOADED,SUCCESS,2495,Downloaded successfully.
2026-04-24,DOWNLOADED,SUCCESS,2486,Downloaded successfully.
2026-04-27,DOWNLOADED,SUCCESS,2483,Downloaded successfully.
2026-04-28,DOWNLOADED,SUCCESS,2479,Downloaded successfully.
2026-04-29,DOWNLOADED,SUCCESS,2475,Downloaded successfully.
2026-04-30,DOWNLOADED,SUCCESS,2455,Downloaded successfully.
2026-05-01,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-05-04,DOWNLOADED,SUCCESS,2458,Downloaded successfully.
2026-05-05,DOWNLOADED,SUCCESS,2454,Downloaded successfully.
2026-05-06,DOWNLOADED,SUCCESS,2452,Downloaded successfully.
2026-05-07,DOWNLOADED,SUCCESS,2453,Downloaded successfully.
2026-05-08,DOWNLOADED,SUCCESS,2449,Downloaded successfully.
2026-05-11,DOWNLOADED,SUCCESS,2452,Downloaded successfully.
2026-05-12,DOWNLOADED,SUCCESS,2442,Downloaded successfully.
2026-05-13,DOWNLOADED,SUCCESS,2436,Downloaded successfully.
2026-05-14,DOWNLOADED,SUCCESS,2432,Downloaded successfully.
2026-05-15,DOWNLOADED,SUCCESS,2423,Downloaded successfully.
2026-05-18,DOWNLOADED,SUCCESS,2421,Downloaded successfully.
2026-05-19,DOWNLOADED,SUCCESS,2463,Downloaded successfully.
2026-05-20,DOWNLOADED,SUCCESS,2462,Downloaded successfully.
2026-05-21,DOWNLOADED,SUCCESS,2461,Downloaded successfully.
2026-05-22,DOWNLOADED,SUCCESS,2462,Downloaded successfully.
2026-05-25,DOWNLOADED,SUCCESS,2466,Downloaded successfully.
2026-05-26,DOWNLOADED,SUCCESS,2465,Downloaded successfully.
2026-05-27,DOWNLOADED,SUCCESS,2463,Downloaded successfully.
2026-05-28,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-05-29,DOWNLOADED,SUCCESS,2461,Downloaded successfully.
2026-06-01,DOWNLOADED,SUCCESS,2462,Downloaded successfully.
2026-06-02,DOWNLOADED,SUCCESS,2458,Downloaded successfully.
2026-06-03,DOWNLOADED,SUCCESS,2453,Downloaded successfully.
2026-06-04,DOWNLOADED,SUCCESS,2452,Downloaded successfully.
2026-06-05,DOWNLOADED,SUCCESS,2443,Downloaded successfully.
2026-06-08,DOWNLOADED,SUCCESS,2446,Downloaded successfully.
2026-06-09,DOWNLOADED,SUCCESS,2443,Downloaded successfully.
2026-06-10,DOWNLOADED,SUCCESS,2441,Downloaded successfully.
2026-06-11,DOWNLOADED,SUCCESS,2433,Downloaded successfully.
2026-06-12,DOWNLOADED,SUCCESS,2430,Downloaded successfully.
2026-06-15,DOWNLOADED,SUCCESS,2428,Downloaded successfully.
2026-06-16,DOWNLOADED,SUCCESS,2431,Downloaded successfully.
2026-06-17,DOWNLOADED,SUCCESS,2427,Downloaded successfully.
2026-06-18,DOWNLOADED,SUCCESS,2420,Downloaded successfully.
2026-06-19,DOWNLOADED,SUCCESS,2415,Downloaded successfully.
2026-06-22,DOWNLOADED,SUCCESS,2419,Downloaded successfully.
2026-06-23,DOWNLOADED,SUCCESS,2411,Downloaded successfully.
2026-06-24,DOWNLOADED,SUCCESS,2408,Downloaded successfully.
2026-06-25,DOWNLOADED,SUCCESS,2406,Downloaded successfully.
2026-06-26,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2026-06-29,DOWNLOADED,SUCCESS,2404,Downloaded successfully.
2026-06-30,DOWNLOADED,SUCCESS,2406,Downloaded successfully.
2026-07-01,DOWNLOADED,SUCCESS,2407,Downloaded successfully.
2026-07-02,DOWNLOADED,SUCCESS,2396,Downloaded successfully.
2026-07-03,DOWNLOADED,SUCCESS,2384,Downloaded successfully.
2026-07-06,DOWNLOADED,SUCCESS,2386,Downloaded successfully.
2026-07-07,DOWNLOADED,SUCCESS,2382,Downloaded successfully.
2026-07-08,DOWNLOADED,SUCCESS,2378,Downloaded successfully.
2026-07-09,DOWNLOADED,SUCCESS,2374,Downloaded successfully.
2026-07-10,DOWNLOADED,SUCCESS,2370,Downloaded successfully.
2026-07-13,DOWNLOADED,SUCCESS,2378,Downloaded successfully.
2026-07-14,DOWNLOADED,SUCCESS,2377,Downloaded successfully.
2026-07-15,DOWNLOADED,SUCCESS,2382,Downloaded successfully.
2026-07-16,DOWNLOADED,SUCCESS,2386,Downloaded successfully.
2026-07-17,DOWNLOADED,SUCCESS,2380,Downloaded successfully.
2026-07-20,DOWNLOADED,SUCCESS,2383,Downloaded successfully.
2026-07-21,DOWNLOADED,SUCCESS,2390,Downloaded successfully.
2026-07-22,DOWNLOADED,SUCCESS,2388,Downloaded successfully.
2026-07-23,DOWNLOADED,SUCCESS,2387,Downloaded successfully.
2026-07-24,DOWNLOADED,SUCCESS,2389,Downloaded successfully.
2026-07-27,DOWNLOADED,SUCCESS,2408,Downloaded successfully.
2026-07-28,DOWNLOADED,SUCCESS,2410,Downloaded successfully.
2026-07-29,DOWNLOADED,SUCCESS,2407,Downloaded successfully.
2026-07-30,DOWNLOADED,SUCCESS,2409,Downloaded successfully.
